t,fe_error,rk4_error
0,0,0
0.0125,0.000181476,7.18031e-11
0.025,0.000362859,1.43533e-10
0.0375,0.000543978,2.15118e-10
0.05,0.000724665,2.86487e-10
0.0625,0.000904756,3.57569e-10
0.075,0.00108409,4.28296e-10
0.0875,0.00126251,4.98603e-10
0.1,0.00143986,5.68425e-10
0.1125,0.00161601,6.37703e-10
0.125,0.00179082,7.06378e-10
0.1375,0.00196415,7.74397e-10
0.15,0.00213591,8.4171e-10
0.1625,0.00230596,9.08271e-10
0.175,0.00247422,9.74038e-10
0.1875,0.0026406,1.03897e-09
0.2,0.00280502,1.10304e-09
0.2125,0.0029674,1.16621e-09
0.225,0.0031277,1.22846e-09
0.2375,0.00328585,1.28976e-09
0.25,0.00344182,1.35011e-09
0.2625,0.00359558,1.40948e-09
0.275,0.00374711,1.46786e-09
0.2875,0.00389639,1.52525e-09
0.3,0.00404343,1.58165e-09
0.3125,0.00418822,1.63706e-09
0.325,0.00433077,1.69148e-09
0.3375,0.0044711,1.74491e-09
0.35,0.00460924,1.79737e-09
0.3625,0.00474522,1.84886e-09
0.375,0.00487906,1.89941e-09
0.3875,0.00501082,1.94902e-09
0.4,0.00514053,1.99772e-09
0.4125,0.00526824,2.04551e-09
0.425,0.005394,2.09243e-09
0.4375,0.00551788,2.13849e-09
0.45,0.00563991,2.18372e-09
0.4625,0.00576017,2.22814e-09
0.475,0.00587872,2.27178e-09
0.4875,0.00599561,2.31466e-09
0.5,0.00611092,2.3568e-09
0.5125,0.0062247,2.39823e-09
0.525,0.00633703,2.43898e-09
0.5375,0.00644796,2.47908e-09
0.55,0.00655757,2.51855e-09
0.5625,0.00666592,2.55742e-09
0.575,0.00677308,2.59571e-09
0.5875,0.00687911,2.63345e-09
0.6,0.00698408,2.67068e-09
0.6125,0.00708806,2.7074e-09
0.625,0.0071911,2.74366e-09
0.6375,0.00729328,2.77947e-09
0.65,0.00739465,2.81486e-09
0.6625,0.00749528,2.84986e-09
0.675,0.00759523,2.88449e-09
0.6875,0.00769456,2.91878e-09
0.7,0.00779333,2.95275e-09
0.7125,0.00789159,2.98641e-09
0.725,0.00798942,3.01981e-09
0.7375,0.00808685,3.05295e-09
0.75,0.00818395,3.08587e-09
0.7625,0.00828078,3.11857e-09
0.775,0.00837738,3.15109e-09
0.7875,0.00847382,3.18345e-09
0.8,0.00857014,3.21567e-09
0.8125,0.00866638,3.24776e-09
0.825,0.00876262,3.27975e-09
0.8375,0.00885889,3.31165e-09
0.85,0.00895524,3.3435e-09
0.8625,0.00905172,3.37529e-09
0.875,0.00914838,3.40707e-09
0.8875,0.00924526,3.43883e-09
0.9,0.00934241,3.47061e-09
0.9125,0.00943988,3.50241e-09
0.925,0.00953772,3.53426e-09
0.9375,0.00963596,3.56618e-09
0.95,0.00973464,3.59817e-09
0.9625,0.00983383,3.63027e-09
0.975,0.00993354,3.66248e-09
0.9875,0.0100338,3.69482e-09
1,0.0101348,3.72731e-09
1.0125,0.0102363,3.75997e-09
1.025,0.0103386,3.79281e-09
1.0375,0.0104417,3.82584e-09
1.05,0.0105455,3.85909e-09
1.0625,0.0106502,3.89257e-09
1.075,0.0107557,3.9263e-09
1.0875,0.0108622,3.96028e-09
1.1,0.0109696,3.99455e-09
1.1125,0.011078,4.02911e-09
1.125,0.0111875,4.06398e-09
1.1375,0.011298,4.09917e-09
1.15,0.0114097,4.1347e-09
1.1625,0.0115225,4.1706e-09
1.175,0.0116365,4.20686e-09
1.1875,0.0117518,4.24352e-09
1.2,0.0118684,4.28059e-09
1.2125,0.0119864,4.31807e-09
1.225,0.0121057,4.356e-09
1.2375,0.0122265,4.39438e-09
1.25,0.0123487,4.43324e-09
1.2625,0.0124725,4.47258e-09
1.275,0.0125978,4.51244e-09
1.2875,0.0127248,4.55281e-09
1.3,0.0128534,4.59374e-09
1.3125,0.0129837,4.63522e-09
1.325,0.0131158,4.67728e-09
1.3375,0.0132498,4.71994e-09
1.35,0.0133856,4.76322e-09
1.3625,0.0135233,4.80713e-09
1.375,0.013663,4.8517e-09
1.3875,0.0138047,4.89694e-09
1.4,0.0139485,4.94288e-09
1.4125,0.0140945,4.98954e-09
1.425,0.0142427,5.03693e-09
1.4375,0.0143931,5.08509e-09
1.45,0.0145459,5.13402e-09
1.4625,0.014701,5.18376e-09
1.475,0.0148586,5.23432e-09
1.4875,0.0150187,5.28574e-09
1.5,0.0151814,5.33803e-09
1.5125,0.0153468,5.39121e-09
1.525,0.0155148,5.44532e-09
1.5375,0.0156857,5.50039e-09
1.55,0.0158595,5.55642e-09
1.5625,0.0160362,5.61347e-09
1.575,0.0162159,5.67154e-09
1.5875,0.0163987,5.73067e-09
1.6,0.0165847,5.79089e-09
1.6125,0.016774,5.85223e-09
1.625,0.0169667,5.91472e-09
1.6375,0.0171628,5.9784e-09
1.65,0.0173624,6.04328e-09
1.6625,0.0175657,6.10942e-09
1.675,0.0177728,6.17683e-09
1.6875,0.0179836,6.24557e-09
1.7,0.0181984,6.31565e-09
1.7125,0.0184173,6.38713e-09
1.725,0.0186403,6.46003e-09
1.7375,0.0188675,6.53441e-09
1.75,0.0190992,6.61029e-09
1.7625,0.0193353,6.68772e-09
1.775,0.0195761,6.76674e-09
1.7875,0.0198216,6.8474e-09
1.8,0.020072,6.92974e-09
1.8125,0.0203274,7.01381e-09
1.825,0.0205879,7.09965e-09
1.8375,0.0208537,7.18732e-09
1.85,0.0211249,7.27686e-09
1.8625,0.0214018,7.36832e-09
1.875,0.0216843,7.46176e-09
1.8875,0.0219727,7.55724e-09
1.9,0.0222671,7.65481e-09
1.9125,0.0225678,7.75452e-09
1.925,0.0228748,7.85643e-09
1.9375,0.0231883,7.96061e-09
1.95,0.0235086,8.06711e-09
1.9625,0.0238357,8.176e-09
1.975,0.02417,8.28735e-09
1.9875,0.0245114,8.40121e-09
2,0.0248604,8.51765e-09
2.0125,0.025217,8.63675e-09
2.025,0.0255815,8.75858e-09
2.0375,0.025954,8.88319e-09
2.05,0.0263347,9.01067e-09
2.0625,0.026724,9.14109e-09
2.075,0.0271219,9.27453e-09
2.0875,0.0275287,9.41105e-09
2.1,0.0279446,9.55073e-09
2.1125,0.0283698,9.69365e-09
2.125,0.0288046,9.83989e-09
2.1375,0.0292491,9.98952e-09
2.15,0.0297036,1.01426e-08
2.1625,0.0301682,1.02992e-08
2.175,0.0306433,1.04595e-08
2.1875,0.031129,1.06234e-08
2.2,0.0316254,1.07911e-08
2.2125,0.0321328,1.09626e-08
2.225,0.0326514,1.1138e-08
2.2375,0.0331814,1.13174e-08
2.25,0.0337228,1.15008e-08
2.2625,0.0342758,1.16882e-08
2.275,0.0348407,1.18797e-08
2.2875,0.0354174,1.20754e-08
2.3,0.036006,1.22753e-08
2.3125,0.0366066,1.24793e-08
2.325,0.0372192,1.26876e-08
2.3375,0.0378438,1.29e-08
2.35,0.0384803,1.31166e-08
2.3625,0.0391287,1.33374e-08
2.375,0.0397886,1.35623e-08
2.3875,0.0404601,1.37912e-08
2.4,0.0411426,1.4024e-08
2.4125,0.041836,1.42607e-08
2.425,0.0425398,1.4501e-08
2.4375,0.0432535,1.47449e-08
2.45,0.0439764,1.4992e-08
2.4625,0.0447079,1.52422e-08
2.475,0.0454472,1.54953e-08
2.4875,0.0461934,1.57508e-08
2.5,0.0469454,1.60085e-08
2.5125,0.0477022,1.6268e-08
2.525,0.0484623,1.65288e-08
2.5375,0.0492246,1.67905e-08
2.55,0.0499873,1.70525e-08
2.5625,0.0507488,1.73143e-08
2.575,0.0515073,1.75752e-08
2.5875,0.0522609,1.78346e-08
2.6,0.0530075,1.80918e-08
2.6125,0.0537449,1.8346e-08
2.625,0.0544709,1.85964e-08
2.6375,0.0551829,1.88423e-08
2.65,0.0558787,1.90828e-08
2.6625,0.0565555,1.9317e-08
2.675,0.057211,1.95441e-08
2.6875,0.0578425,1.97631e-08
2.7,0.0584474,1.99732e-08
2.7125,0.0590233,2.01735e-08
2.725,0.0595678,2.03632e-08
2.7375,0.0600786,2.05415e-08
2.75,0.0605536,2.07076e-08
2.7625,0.0609907,2.0861e-08
2.775,0.0613883,2.10009e-08
2.7875,0.0617448,2.11268e-08
2.8,0.062059,2.12384e-08
2.8125,0.06233,2.13353e-08
2.825,0.0625571,2.14171e-08
2.8375,0.0627399,2.14839e-08
2.85,0.0628785,2.15356e-08
2.8625,0.062973,2.15722e-08
2.875,0.0630241,2.15939e-08
2.8875,0.0630326,2.1601e-08
2.9,0.0629997,2.1594e-08
2.9125,0.0629266,2.15731e-08
2.925,0.0628149,2.1539e-08
2.9375,0.0626665,2.14923e-08
2.95,0.0624833,2.14336e-08
2.9625,0.0622672,2.13635e-08
2.975,0.0620205,2.12829e-08
2.9875,0.0617454,2.11924e-08
3,0.0614442,2.10929e-08
3.0125,0.061119,2.09851e-08
3.025,0.0607722,2.08698e-08
3.0375,0.060406,2.07477e-08
3.05,0.0600226,2.06196e-08
3.0625,0.0596242,2.04861e-08
3.075,0.0592126,2.03481e-08
3.0875,0.05879,2.02062e-08
3.1,0.0583581,2.00609e-08
3.1125,0.0579187,1.99129e-08
3.125,0.0574734,1.97627e-08
3.1375,0.0570238,1.9611e-08
3.15,0.0565712,1.94581e-08
3.1625,0.0561171,1.93045e-08
3.175,0.0556626,1.91506e-08
3.1875,0.0552089,1.89968e-08
3.2,0.0547569,1.88435e-08
3.2125,0.0543075,1.8691e-08
3.225,0.0538616,1.85395e-08
3.2375,0.05342,1.83893e-08
3.25,0.0529833,1.82407e-08
3.2625,0.0525521,1.80938e-08
3.275,0.0521269,1.79489e-08
3.2875,0.0517082,1.7806e-08
3.3,0.0512964,1.76654e-08
3.3125,0.0508918,1.75271e-08
3.325,0.0504948,1.73913e-08
3.3375,0.0501055,1.7258e-08
3.35,0.0497243,1.71273e-08
3.3625,0.0493512,1.69993e-08
3.375,0.0489864,1.6874e-08
3.3875,0.0486301,1.67515e-08
3.4,0.0482823,1.66318e-08
3.4125,0.047943,1.65149e-08
3.425,0.0476124,1.64009e-08
3.4375,0.0472904,1.62897e-08
3.45,0.0469771,1.61813e-08
3.4625,0.0466724,1.60757e-08
3.475,0.0463762,1.5973e-08
3.4875,0.0460887,1.58732e-08
3.5,0.0458096,1.57761e-08
3.5125,0.045539,1.56818e-08
3.525,0.0452768,1.55903e-08
3.5375,0.0450229,1.55015e-08
3.55,0.0447772,1.54155e-08
3.5625,0.0445398,1.53321e-08
3.575,0.0443104,1.52514e-08
3.5875,0.044089,1.51733e-08
3.6,0.0438755,1.50979e-08
3.6125,0.0436699,1.5025e-08
3.625,0.0434719,1.49546e-08
3.6375,0.0432817,1.48868e-08
3.65,0.0430989,1.48215e-08
3.6625,0.0429237,1.47586e-08
3.675,0.0427558,1.46982e-08
3.6875,0.0425952,1.46401e-08
3.7,0.0424418,1.45844e-08
3.7125,0.0422955,1.45311e-08
3.725,0.0421562,1.44801e-08
3.7375,0.0420239,1.44313e-08
3.75,0.0418985,1.43848e-08
3.7625,0.0417798,1.43405e-08
3.775,0.0416679,1.42985e-08
3.7875,0.0415626,1.42586e-08
3.8,0.0414638,1.42208e-08
3.8125,0.0413716,1.41852e-08
3.825,0.0412858,1.41518e-08
3.8375,0.0412064,1.41203e-08
3.85,0.0411333,1.4091e-08
3.8625,0.0410665,1.40637e-08
3.875,0.0410058,1.40385e-08
3.8875,0.0409513,1.40152e-08
3.9,0.0409029,1.3994e-08
3.9125,0.0408606,1.39747e-08
3.925,0.0408243,1.39574e-08
3.9375,0.0407939,1.39421e-08
3.95,0.0407695,1.39286e-08
3.9625,0.040751,1.39171e-08
3.975,0.0407383,1.39076e-08
3.9875,0.0407315,1.38999e-08
4,0.0407305,1.38941e-08
4.0125,0.0407353,1.38902e-08
4.025,0.0407458,1.38882e-08
4.0375,0.0407621,1.38881e-08
4.05,0.0407841,1.38898e-08
4.0625,0.0408118,1.38934e-08
4.075,0.0408453,1.38989e-08
4.0875,0.0408844,1.39062e-08
4.1,0.0409292,1.39154e-08
4.1125,0.0409797,1.39264e-08
4.125,0.041036,1.39393e-08
4.1375,0.0410979,1.3954e-08
4.15,0.0411655,1.39706e-08
4.1625,0.0412389,1.3989e-08
4.175,0.0413179,1.40093e-08
4.1875,0.0414028,1.40315e-08
4.2,0.0414933,1.40556e-08
4.2125,0.0415897,1.40815e-08
4.225,0.0416919,1.41094e-08
4.2375,0.0417999,1.41391e-08
4.25,0.0419138,1.41708e-08
4.2625,0.0420336,1.42043e-08
4.275,0.0421593,1.42398e-08
4.2875,0.042291,1.42772e-08
4.3,0.0424286,1.43166e-08
4.3125,0.0425724,1.4358e-08
4.325,0.0427223,1.44014e-08
4.3375,0.0428783,1.44467e-08
4.35,0.0430405,1.44941e-08
4.3625,0.043209,1.45435e-08
4.375,0.0433839,1.4595e-08
4.3875,0.0435651,1.46486e-08
4.4,0.0437528,1.47042e-08
4.4125,0.043947,1.4762e-08
4.425,0.0441479,1.4822e-08
4.4375,0.0443554,1.48841e-08
4.45,0.0445697,1.49484e-08
4.4625,0.0447908,1.50149e-08
4.475,0.0450189,1.50838e-08
4.4875,0.045254,1.51549e-08
4.5,0.0454962,1.52283e-08
4.5125,0.0457457,1.53041e-08
4.525,0.0460025,1.53822e-08
4.5375,0.0462667,1.54628e-08
4.55,0.0465385,1.55459e-08
4.5625,0.0468179,1.56314e-08
4.575,0.0471051,1.57195e-08
4.5875,0.0474003,1.58102e-08
4.6,0.0477034,1.59035e-08
4.6125,0.0480148,1.59994e-08
4.625,0.0483344,1.60981e-08
4.6375,0.0486625,1.61995e-08
4.65,0.0489991,1.63037e-08
4.6625,0.0493445,1.64107e-08
4.675,0.0496988,1.65207e-08
4.6875,0.0500621,1.66336e-08
4.7,0.0504347,1.67495e-08
4.7125,0.0508166,1.68685e-08
4.725,0.0512081,1.69906e-08
4.7375,0.0516094,1.71158e-08
4.75,0.0520205,1.72443e-08
4.7625,0.0524417,1.73762e-08
4.775,0.0528733,1.75113e-08
4.7875,0.0533153,1.76499e-08
4.8,0.053768,1.7792e-08
4.8125,0.0542317,1.79376e-08
4.825,0.0547064,1.80869e-08
4.8375,0.0551924,1.82399e-08
4.85,0.05569,1.83966e-08
4.8625,0.0561994,1.85572e-08
4.875,0.0567207,1.87216e-08
