t,x,y,z,vx,vy,vz
0,20,0,20,0,25,0
0.003125,20,0.078125,20,0.203143,25.0001,-0.0300664
0.00625,20.0006,0.15625,19.9999,0.406287,24.9986,-0.0601326
0.009375,20.0019,0.234371,19.9997,0.609421,24.9958,-0.0901985
0.0125,20.0038,0.312483,19.9994,0.812535,24.9914,-0.120264
0.015625,20.0063,0.390581,19.9991,1.01562,24.9856,-0.150329
0.01875,20.0095,0.468661,19.9986,1.21866,24.9783,-0.180393
0.021875,20.0133,0.546718,19.998,1.42165,24.9695,-0.210457
0.025,20.0178,0.624748,19.9974,1.62458,24.9593,-0.240519
0.028125,20.0228,0.702746,19.9966,1.82743,24.9476,-0.27058
0.03125,20.0286,0.780707,19.9958,2.0302,24.9345,-0.30064
0.034375,20.0349,0.858627,19.9948,2.23288,24.9198,-0.330699
0.0375,20.0419,0.936502,19.9938,2.43545,24.9037,-0.360756
0.040625,20.0495,1.01433,19.9927,2.6379,24.8862,-0.390811
0.04375,20.0577,1.0921,19.9915,2.84023,24.8671,-0.420865
0.046875,20.0666,1.16981,19.9901,3.04243,24.8467,-0.450916
0.05,20.0761,1.24745,19.9887,3.24447,24.8247,-0.480966
0.053125,20.0863,1.32503,19.9872,3.44636,24.8013,-0.511013
0.05625,20.097,1.40253,19.9856,3.64808,24.7764,-0.541058
0.059375,20.1084,1.47996,19.9839,3.84962,24.7501,-0.5711
0.0625,20.1205,1.5573,19.9822,4.05098,24.7223,-0.60114
0.065625,20.1331,1.63456,19.9803,4.25213,24.693,-0.631176
0.06875,20.1464,1.71172,19.9783,4.45307,24.6623,-0.66121
0.071875,20.1603,1.78879,19.9762,4.6538,24.6301,-0.691241
0.075,20.1749,1.86576,19.9741,4.85429,24.5965,-0.721268
0.078125,20.19,1.94263,19.9718,5.05454,24.5615,-0.751292
0.08125,20.2058,2.01938,19.9695,5.25454,24.525,-0.781313
0.084375,20.2223,2.09602,19.967,5.45427,24.487,-0.811329
0.0875,20.2393,2.17254,19.9645,5.65373,24.4476,-0.841342
0.090625,20.257,2.24894,19.9619,5.85291,24.4067,-0.871351
0.09375,20.2753,2.32521,19.9591,6.0518,24.3644,-0.901356
0.096875,20.2942,2.40135,19.9563,6.25038,24.3207,-0.931357
0.1,20.3137,2.47736,19.9534,6.44865,24.2755,-0.961353
0.103125,20.3339,2.55322,19.9504,6.64659,24.2289,-0.991345
0.10625,20.3546,2.62893,19.9473,6.8442,24.1809,-1.02133
0.109375,20.376,2.7045,19.9441,7.04146,24.1314,-1.05131
0.1125,20.398,2.77991,19.9408,7.23837,24.0805,-1.08129
0.115625,20.4206,2.85516,19.9375,7.43491,24.0282,-1.11126
0.11875,20.4439,2.93025,19.934,7.63107,23.9745,-1.14123
0.121875,20.4677,3.00517,19.9304,7.82685,23.9193,-1.17119
0.125,20.4922,3.07992,19.9268,8.02223,23.8627,-1.20115
0.128125,20.5172,3.15449,19.923,8.21721,23.8048,-1.2311
0.13125,20.5429,3.22888,19.9192,8.41177,23.7454,-1.26105
0.134375,20.5692,3.30308,19.9152,8.6059,23.6845,-1.29098
0.1375,20.5961,3.3771,19.9112,8.79959,23.6223,-1.32092
0.140625,20.6236,3.45092,19.9071,8.99283,23.5587,-1.35084
0.14375,20.6517,3.52454,19.9028,9.18562,23.4937,-1.38076
0.146875,20.6804,3.59795,19.8985,9.37794,23.4273,-1.41068
0.15,20.7097,3.67116,19.8941,9.56979,23.3595,-1.44058
0.153125,20.7396,3.74416,19.8896,9.76114,23.2903,-1.47049
0.15625,20.7701,3.81695,19.885,9.952,23.2197,-1.50038
0.159375,20.8012,3.88951,19.8803,10.1423,23.1477,-1.53027
0.1625,20.8329,3.96184,19.8755,10.3322,23.0744,-1.56014
0.165625,20.8652,4.03395,19.8707,10.5215,22.9997,-1.59002
0.16875,20.8981,4.10583,19.8657,10.7103,22.9236,-1.61988
0.171875,20.9316,4.17746,19.8606,10.8985,22.8462,-1.64974
0.175,20.9656,4.24886,19.8555,11.0861,22.7674,-1.67959
0.178125,21.0003,4.32,19.8502,11.2732,22.6872,-1.70943
0.18125,21.0355,4.3909,19.8449,11.4597,22.6057,-1.73926
0.184375,21.0713,4.46154,19.8395,11.6457,22.5228,-1.76909
0.1875,21.1077,4.53193,19.8339,11.831,22.4386,-1.7989
0.190625,21.1447,4.60205,19.8283,12.0157,22.353,-1.82871
0.19375,21.1822,4.6719,19.8226,12.1999,22.2661,-1.85851
0.196875,21.2203,4.74148,19.8168,12.3833,22.1779,-1.8883
0.2,21.259,4.81079,19.8109,12.5662,22.0883,-1.91808
0.203125,21.2983,4.87981,19.8049,12.7484,21.9974,-1.94786
0.20625,21.3381,4.94856,19.7988,12.93,21.9052,-1.97762
