t,particles_inside
0,100
0.0125,100
0.025,100
0.0375,100
0.05,100
0.0625,100
0.075,100
0.0875,100
0.1,100
0.1125,100
0.125,100
0.1375,100
0.15,100
0.1625,100
0.175,100
0.1875,100
0.2,100
0.2125,100
0.225,100
0.2375,100
0.25,100
0.2625,100
0.275,100
0.2875,100
0.3,100
0.3125,100
0.325,100
0.3375,100
0.35,100
0.3625,100
0.375,100
0.3875,100
0.4,100
0.4125,100
0.425,100
0.4375,100
0.45,100
0.4625,100
0.475,100
0.4875,100
0.5,100
0.5125,100
0.525,100
0.5375,100
0.55,100
0.5625,100
0.575,100
0.5875,100
0.6,100
0.6125,100
0.625,100
0.6375,100
0.65,100
0.6625,100
0.675,100
0.6875,100
0.7,100
0.7125,100
0.725,100
0.7375,100
0.75,100
0.7625,100
0.775,100
0.7875,100
0.8,100
0.8125,100
0.825,100
0.8375,100
0.85,100
0.8625,100
0.875,100
0.8875,100
0.9,100
0.9125,100
0.925,100
0.9375,100
0.95,100
0.9625,100
0.975,100
0.9875,100
1,100
1.0125,100
1.025,100
1.0375,100
1.05,100
1.0625,100
1.075,100
1.0875,100
1.1,100
1.1125,100
1.125,100
1.1375,100
1.15,100
1.1625,100
1.175,100
1.1875,100
1.2,100
1.2125,100
1.225,100
1.2375,100
1.25,100
1.2625,100
1.275,100
1.2875,100
1.3,100
1.3125,100
1.325,100
1.3375,100
1.35,100
1.3625,100
1.375,100
1.3875,100
1.4,100
1.4125,100
1.425,100
1.4375,100
1.45,100
1.4625,100
1.475,100
1.4875,100
1.5,100
1.5125,100
1.525,100
1.5375,100
1.55,100
1.5625,100
1.575,100
1.5875,100
1.6,100
1.6125,100
1.625,100
1.6375,100
1.65,100
1.6625,100
1.675,100
1.6875,100
1.7,100
1.7125,100
1.725,100
1.7375,100
1.75,100
1.7625,100
1.775,100
1.7875,100
1.8,100
1.8125,100
1.825,100
1.8375,100
1.85,100
1.8625,100
1.875,100
1.8875,100
1.9,100
1.9125,100
1.925,100
1.9375,100
1.95,100
1.9625,100
1.975,100
1.9875,100
2,100
2.0125,100
2.025,100
2.0375,100
2.05,100
2.0625,100
2.075,100
2.0875,100
2.1,100
2.1125,100
2.125,100
2.1375,100
2.15,100
2.1625,100
2.175,100
2.1875,100
2.2,100
2.2125,100
2.225,100
2.2375,100
2.25,100
2.2625,100
2.275,100
2.2875,100
2.3,100
2.3125,100
2.325,100
2.3375,100
2.35,100
2.3625,100
2.375,100
2.3875,100
2.4,100
2.4125,100
2.425,100
2.4375,100
2.45,100
2.4625,100
2.475,100
2.4875,100
2.5,100
2.5125,100
2.525,100
2.5375,100
2.55,100
2.5625,100
2.575,100
2.5875,100
2.6,100
2.6125,100
2.625,100
2.6375,100
2.65,100
2.6625,100
2.675,100
2.6875,100
2.7,100
2.7125,100
2.725,100
2.7375,100
2.75,100
2.7625,100
2.775,100
2.7875,100
2.8,100
2.8125,100
2.825,100
2.8375,100
2.85,100
2.8625,100
2.875,100
2.8875,100
2.9,100
2.9125,100
2.925,100
2.9375,100
2.95,100
2.9625,100
2.975,100
2.9875,100
3,100
3.0125,100
3.025,100
3.0375,100
3.05,100
3.0625,100
3.075,100
3.0875,100
3.1,100
3.1125,100
3.125,100
3.1375,100
3.15,100
3.1625,100
3.175,100
3.1875,100
3.2,100
3.2125,100
3.225,100
3.2375,100
3.25,100
3.2625,100
3.275,100
3.2875,100
3.3,100
3.3125,100
3.325,100
3.3375,100
3.35,100
3.3625,100
3.375,100
3.3875,100
3.4,100
3.4125,100
3.425,100
3.4375,100
3.45,100
3.4625,100
3.475,100
3.4875,100
3.5,100
3.5125,100
3.525,100
3.5375,100
3.55,100
3.5625,100
3.575,100
3.5875,100
3.6,100
3.6125,100
3.625,100
3.6375,100
3.65,100
3.6625,100
3.675,100
3.6875,100
3.7,100
3.7125,100
3.725,100
3.7375,100
3.75,100
3.7625,100
3.775,100
3.7875,100
3.8,100
3.8125,100
3.825,100
3.8375,100
3.85,100
3.8625,100
3.875,100
3.8875,100
3.9,100
3.9125,100
3.925,100
3.9375,100
3.95,100
3.9625,100
3.975,100
3.9875,100
4,100
4.0125,100
4.025,100
4.0375,100
4.05,100
4.0625,100
4.075,100
4.0875,100
4.1,100
4.1125,100
4.125,100
4.1375,100
4.15,100
4.1625,100
