t,x,y,z,vx,vy,vz
0,20,0,20,0,25,0
0.003125,20.0003,0.0781242,20,0.203141,24.9993,-0.0300663
0.00625,20.0013,0.156244,19.9998,0.406272,24.9971,-0.0601326
0.009375,20.0029,0.234354,19.9996,0.609381,24.9934,-0.0901985
0.0125,20.0051,0.312451,19.9992,0.812459,24.9882,-0.120264
0.015625,20.0079,0.390529,19.9988,1.01549,24.9816,-0.150329
0.01875,20.0114,0.468585,19.9983,1.21848,24.9735,-0.180393
0.021875,20.0155,0.546612,19.9977,1.4214,24.964,-0.210457
0.025,20.0203,0.624608,19.997,1.62424,24.953,-0.240519
0.028125,20.0257,0.702567,19.9962,1.827,24.9405,-0.27058
0.03125,20.0317,0.780485,19.9953,2.02967,24.9265,-0.30064
0.034375,20.0384,0.858356,19.9943,2.23223,24.9111,-0.330699
0.0375,20.0457,0.936178,19.9932,2.43467,24.8942,-0.360756
0.040625,20.0536,1.01394,19.9921,2.63698,24.8759,-0.390811
0.04375,20.0622,1.09165,19.9908,2.83916,24.8561,-0.420865
0.046875,20.0713,1.16929,19.9894,3.04119,24.8348,-0.450916
0.05,20.0812,1.24687,19.988,3.24307,24.8121,-0.480966
0.053125,20.0916,1.32437,19.9864,3.44477,24.7879,-0.511013
0.05625,20.1027,1.40179,19.9848,3.6463,24.7622,-0.541057
0.059375,20.1144,1.47913,19.983,3.84763,24.7351,-0.5711
0.0625,20.1267,1.55638,19.9812,4.04876,24.7065,-0.601139
0.065625,20.1397,1.63354,19.9793,4.24969,24.6765,-0.631176
0.06875,20.1533,1.71061,19.9773,4.45039,24.6451,-0.66121
0.071875,20.1675,1.78757,19.9752,4.65086,24.6121,-0.69124
0.075,20.1824,1.86443,19.9729,4.85109,24.5777,-0.721268
0.078125,20.1978,1.94118,19.9706,5.05106,24.5419,-0.751291
0.08125,20.2139,2.01782,19.9683,5.25077,24.5047,-0.781312
0.084375,20.2307,2.09434,19.9658,5.45021,24.4659,-0.811329
0.0875,20.248,2.17073,19.9632,5.64936,24.4258,-0.841342
0.090625,20.266,2.247,19.9605,5.84822,24.3842,-0.871351
0.09375,20.2846,2.32313,19.9577,6.04678,24.3412,-0.901356
0.096875,20.3038,2.39913,19.9549,6.24502,24.2967,-0.931356
0.1,20.3236,2.47498,19.9519,6.44293,24.2508,-0.961353
0.103125,20.344,2.55069,19.9489,6.64051,24.2034,-0.991344
0.10625,20.3651,2.62625,19.9457,6.83775,24.1547,-1.02133
0.109375,20.3868,2.70166,19.9425,7.03462,24.1045,-1.05131
0.1125,20.4091,2.7769,19.9391,7.23113,24.0529,-1.08129
0.115625,20.432,2.85199,19.9357,7.42727,23.9999,-1.11126
0.11875,20.4555,2.9269,19.9322,7.62302,23.9454,-1.14123
0.121875,20.4796,3.00164,19.9286,7.81836,23.8895,-1.17119
0.125,20.5043,3.07621,19.9249,8.01331,23.8323,-1.20115
0.128125,20.5297,3.15059,19.9211,8.20783,23.7736,-1.2311
0.13125,20.5556,3.22479,19.9172,8.40193,23.7135,-1.26104
0.134375,20.5822,3.2988,19.9132,8.59559,23.652,-1.29098
0.1375,20.6094,3.37262,19.9091,8.7888,23.5891,-1.32092
0.140625,20.6371,3.44623,19.9049,8.98156,23.5248,-1.35084
0.14375,20.6655,3.51964,19.9007,9.17384,23.4591,-1.38076
0.146875,20.6945,3.59285,19.8963,9.36565,23.392,-1.41068
0.15,20.724,3.66584,19.8919,9.55697,23.3236,-1.44058
0.153125,20.7542,3.73862,19.8873,9.74779,23.2537,-1.47048
0.15625,20.785,3.81118,19.8827,9.93811,23.1825,-1.50038
0.159375,20.8163,3.88351,19.8779,10.1279,23.1099,-1.53026
0.1625,20.8483,3.95561,19.8731,10.3172,23.0359,-1.56014
0.165625,20.8808,4.02748,19.8682,10.5059,22.9606,-1.59002
0.16875,20.9139,4.09912,19.8632,10.6941,22.8839,-1.61988
0.171875,20.9476,4.17051,19.8581,10.8817,22.8058,-1.64974
0.175,20.9819,4.24165,19.8529,11.0688,22.7264,-1.67959
0.178125,21.0168,4.31254,19.8476,11.2553,22.6456,-1.70943
0.18125,21.0523,4.38318,19.8422,11.4412,22.5635,-1.73926
0.184375,21.0883,4.45356,19.8367,11.6265,22.48,-1.76908
0.1875,21.1249,4.52368,19.8311,11.8112,22.3952,-1.7989
0.190625,21.1621,4.59353,19.8254,11.9952,22.3091,-1.82871
0.19375,21.1999,4.66311,19.8197,12.1787,22.2216,-1.85851
0.196875,21.2382,4.73242,19.8138,12.3615,22.1328,-1.8883
0.2,21.2772,4.80144,19.8079,12.5437,22.0427,-1.91808
0.203125,21.3166,4.87018,19.8018,12.7252,21.9513,-1.94786
0.20625,21.3567,4.93864,19.7957,12.9061,21.8585,-1.97762
0.209375,21.3973,5.0068,19.7895,13.0863,21.7645,-2.00737
0.2125,21.4385,5.07466,19.7832,13.2658,21.6691,-2.03712
0.215625,21.4802,5.14223,19.7768,13.4446,21.5725,-2.06685
0.21875,21.5225,5.20949,19.7702,13.6227,21.4745,-2.09658
0.221875,21.5654,5.27644,19.7636,13.8001,21.3753,-2.1263
0.225,21.6088,5.34308,19.757,13.9768,21.2748,-2.156
0.228125,21.6527,5.40941,19.7502,14.1527,21.173,-2.1857
0.23125,21.6972,5.47541,19.7433,14.328,21.07,-2.21538
0.234375,21.7423,5.54109,19.7363,14.5024,20.9656,-2.24506
0.2375,21.7879,5.60645,19.7293,14.6761,20.86,-2.27472
0.240625,21.834,5.67147,19.7221,14.8491,20.7532,-2.30438
0.24375,21.8807,5.73615,19.7149,15.0213,20.6451,-2.33402
0.246875,21.9279,5.8005,19.7075,15.1927,20.5358,-2.36365
0.25,21.9756,5.8645,19.7001,15.3633,20.4252,-2.39327
0.253125,22.0239,5.92816,19.6926,15.5331,20.3134,-2.42288
0.25625,22.0727,5.99146,19.6849,15.7021,20.2004,-2.45248
0.259375,22.122,6.05441,19.6772,15.8702,20.0861,-2.48207
0.2625,22.1719,6.117,19.6694,16.0376,19.9706,-2.51165
0.265625,22.2223,6.17922,19.6615,16.2041,19.854,-2.54121
0.26875,22.2732,6.24108,19.6536,16.3698,19.7361,-2.57076
0.271875,22.3246,6.30257,19.6455,16.5346,19.617,-2.6003
0.275,22.3765,6.36369,19.6373,16.6985,19.4967,-2.62983
0.278125,22.4289,6.42442,19.629,16.8616,19.3753,-2.65934
0.28125,22.4819,6.48478,19.6207,17.0238,19.2526,-2.68884
0.284375,22.5353,6.54475,19.6122,17.1852,19.1288,-2.71833
0.2875,22.5893,6.60433,19.6037,17.3456,19.0039,-2.74781
0.290625,22.6437,6.66353,19.5951,17.5051,18.8777,-2.77728
0.29375,22.6987,6.72232,19.5863,17.6637,18.7505,-2.80673
0.296875,22.7541,6.78071,19.5775,17.8214,18.622,-2.83616
0.3,22.8101,6.83871,19.5686,17.9781,18.4925,-2.86559
0.303125,22.8665,6.89629,19.5596,18.134,18.3618,-2.895
0.30625,22.9234,6.95347,19.5505,18.2888,18.2299,-2.9244
0.309375,22.9808,7.01023,19.5413,18.4428,18.097,-2.95378
0.3125,23.0387,7.06657,19.532,18.5957,17.9629,-2.98315
0.315625,23.097,7.12249,19.5227,18.7477,17.8278,-3.01251
0.31875,23.1558,7.17799,19.5132,18.8987,17.6915,-3.04185
0.321875,23.2151,7.23307,19.5037,19.0488,17.5542,-3.07118
0.325,23.2749,7.28771,19.494,19.1978,17.4157,-3.10049
0.328125,23.3351,7.34191,19.4843,19.3458,17.2762,-3.12979
0.33125,23.3958,7.39568,19.4745,19.4929,17.1356,-3.15907
0.334375,23.457,7.44901,19.4645,19.6389,16.994,-3.18834
0.3375,23.5186,7.50189,19.4545,19.7839,16.8513,-3.21759
0.340625,23.5806,7.55433,19.4444,19.9278,16.7076,-3.24683
0.34375,23.6431,7.60631,19.4342,20.0707,16.5628,-3.27606
0.346875,23.706,7.65784,19.424,20.2126,16.417,-3.30526
0.35,23.7694,7.70892,19.4136,20.3534,16.2701,-3.33446
0.353125,23.8333,7.75953,19.4031,20.4932,16.1222,-3.36363
0.35625,23.8975,7.80968,19.3926,20.6319,15.9734,-3.3928
0.359375,23.9622,7.85936,19.3819,20.7695,15.8235,-3.42194
0.3625,24.0273,7.90858,19.3712,20.906,15.6726,-3.45107
0.365625,24.0929,7.95732,19.3603,21.0415,15.5208,-3.48018
0.36875,24.1588,8.00558,19.3494,21.1758,15.368,-3.50928
0.371875,24.2252,8.05337,19.3384,21.309,15.2142,-3.53836
0.375,24.292,8.10067,19.3273,21.4412,15.0594,-3.56742
0.378125,24.3592,8.14749,19.3161,21.5722,14.9037,-3.59647
0.38125,24.4268,8.19382,19.3048,21.7021,14.747,-3.6255
0.384375,24.4949,8.23965,19.2935,21.8308,14.5894,-3.65451
0.3875,24.5633,8.285,19.282,21.9584,14.4309,-3.68351
0.390625,24.6321,8.32985,19.2704,22.0849,14.2714,-3.71249
0.39375,24.7013,8.37419,19.2588,22.2102,14.111,-3.74145
0.396875,24.7709,8.41804,19.2471,22.3344,13.9498,-3.77039
0.4,24.8409,8.46138,19.2352,22.4574,13.7876,-3.79932
0.403125,24.9113,8.50421,19.2233,22.5792,13.6245,-3.82822
0.40625,24.982,8.54653,19.2113,22.6999,13.4606,-3.85711
0.409375,25.0531,8.58834,19.1992,22.8194,13.2958,-3.88598
