t,x,y,z
0,20,0,20
0.0125,20.0047,0.312453,20
0.025,20.0188,0.624623,20
0.0375,20.0423,0.936227,20
0.05,20.0752,1.24698,20
0.0625,20.1173,1.55661,20
0.075,20.1688,1.86483,20
0.0875,20.2296,2.17135,20
0.1,20.2995,2.47591,20
0.1125,20.3786,2.77823,20
0.125,20.4667,3.07803,20
0.1375,20.5639,3.37505,20
0.15,20.6699,3.669,20
0.1625,20.7847,3.95964,20
0.175,20.9082,4.24668,20
0.1875,21.0403,4.52988,20
0.2,21.1808,4.80898,20
0.2125,21.3297,5.08372,20
0.225,21.4868,5.35385,20
0.2375,21.6519,5.61914,20
0.25,21.825,5.87934,20
0.2625,22.0058,6.13421,20
0.275,22.1942,6.38352,20
0.2875,22.39,6.62705,20
0.3,22.593,6.86458,20
0.3125,22.8031,7.0959,20
0.325,23.0201,7.32078,20
0.3375,23.2437,7.53903,20
0.35,23.4738,7.75046,20
0.3625,23.7102,7.95486,20
0.375,23.9526,8.15206,20
0.3875,24.2009,8.34188,20
0.4,24.4547,8.52413,20
0.4125,24.7139,8.69867,20
0.425,24.9782,8.86533,20
0.4375,25.2475,9.02396,20
0.45,25.5213,9.17441,20
0.4625,25.7996,9.31656,20
0.475,26.0821,9.45026,20
0.4875,26.3684,9.57541,20
0.5,26.6584,9.69188,20
0.5125,26.9517,9.79957,20
0.525,27.2482,9.89839,20
0.5375,27.5475,9.98824,20
0.55,27.8493,10.069,20
0.5625,28.1535,10.1407,20
0.575,28.4597,10.2032,20
0.5875,28.7676,10.2565,20
0.6,29.0769,10.3004,20
0.6125,29.3875,10.3351,20
0.625,29.699,10.3604,20
0.6375,30.0111,10.3762,20
0.65,30.3235,10.3827,20
0.6625,30.636,10.3798,20
0.675,30.9482,10.3675,20
0.6875,31.2599,10.3458,20
0.7,31.5709,10.3147,20
0.7125,31.8807,10.2743,20
0.725,32.1892,10.2246,20
0.7375,32.4961,10.1656,20
0.75,32.8011,10.0974,20
0.7625,33.1038,10.02,20
