t,x1,y1,z1,x2,y2,z2
0,20,0,20,25,25,0
0.0125,20.0047,0.312254,20.0002,25.0076,25.5001,0.0623391
0.025,20.0186,0.623827,20.0006,25.0303,26.0002,0.12436
0.0375,20.0419,0.934442,20.0014,25.0681,26.4997,0.186068
0.05,20.0744,1.24382,20.0025,25.121,26.9983,0.247466
0.0625,20.1161,1.55169,20.004,25.189,27.4955,0.308559
0.075,20.167,1.85776,20.0057,25.272,27.9908,0.36935
0.0875,20.227,2.16178,20.0077,25.3699,28.4837,0.429845
0.1,20.296,2.46346,20.01,25.4828,28.9739,0.490046
0.1125,20.374,2.76253,20.0126,25.6104,29.4609,0.549959
0.125,20.4609,3.05874,20.0155,25.7526,29.9441,0.609587
0.1375,20.5565,3.35181,20.0187,25.9095,30.4233,0.668934
0.15,20.6609,3.64149,20.0221,26.0808,30.8979,0.728004
0.1625,20.7738,3.92751,20.0259,26.2663,31.3675,0.786802
0.175,20.8952,4.20962,20.0299,26.466,31.8317,0.84533
0.1875,21.025,4.48757,20.0341,26.6797,32.2901,0.903593
0.2,21.163,4.76111,20.0386,26.9071,32.7422,0.961595
0.2125,21.3091,5.03,20.0434,27.1481,33.1876,1.01934
0.225,21.4631,5.29399,20.0485,27.4025,33.6259,1.07683
0.2375,21.6249,5.55286,20.0538,27.67,34.0568,1.13407
0.25,21.7944,5.80638,20.0593,27.9505,34.4798,1.19106
0.2625,21.9713,6.05431,20.0651,28.2437,34.8945,1.24781
0.275,22.1555,6.29643,20.0711,28.5493,35.3006,1.30432
0.2875,22.3469,6.53254,20.0774,28.867,35.6976,1.36059
0.3,22.5451,6.76243,20.0839,29.1967,36.0853,1.41663
0.3125,22.7502,6.98588,20.0906,29.5379,36.4633,1.47244
0.325,22.9617,7.20271,20.0976,29.8905,36.8311,1.52802
0.3375,23.1796,7.41271,20.1048,30.254,37.1886,1.58338
0.35,23.4036,7.61571,20.1122,30.6283,37.5352,1.63851
0.3625,23.6336,7.81152,20.1199,31.0129,37.8709,1.69343
0.375,23.8692,7.99997,20.1277,31.4075,38.1951,1.74813
0.3875,24.1104,8.1809,20.1358,31.8117,38.5077,1.80262
0.4,24.3567,8.35414,20.144,32.2253,38.8083,1.8569
0.4125,24.6081,8.51955,20.1525,32.6479,39.0966,1.91097
0.425,24.8643,8.67698,20.1612,33.079,39.3725,1.96484
0.4375,25.1249,8.82629,20.1701,33.5183,39.6356,2.01851
0.45,25.3899,8.96735,20.1792,33.9655,39.8857,2.07197
0.4625,25.6589,9.10003,20.1885,34.42,40.1226,2.12524
0.475,25.9316,9.22423,20.198,34.8816,40.346,2.17831
0.4875,26.2079,9.33982,20.2077,35.3498,40.5557,2.23119
0.5,26.4874,9.44673,20.2176,35.8242,40.7516,2.28388
0.5125,26.7699,9.54484,20.2276,36.3043,40.9335,2.33638
0.525,27.0552,9.63408,20.2379,36.7899,41.1011,2.38869
0.5375,27.3429,9.71438,20.2483,37.2803,41.2544,2.44082
0.55,27.6327,9.78565,20.2589,37.7753,41.3932,2.49277
0.5625,27.9245,9.84785,20.2697,38.2743,41.5173,2.54453
0.575,28.2179,9.90092,20.2807,38.777,41.6267,2.59611
0.5875,28.5127,9.94482,20.2919,39.2828,41.7213,2.64752
0.6,28.8085,9.97951,20.3032,39.7913,41.8008,2.69875
0.6125,29.1052,10.005,20.3148,40.3021,41.8654,2.74981
0.625,29.4023,10.0212,20.3264,40.8148,41.9149,2.80069
0.6375,29.6997,10.0281,20.3383,41.3288,41.9492,2.8514
0.65,29.9971,10.0258,20.3503,41.8437,41.9684,2.90194
0.6625,30.2941,10.0142,20.3626,42.3591,41.9723,2.95231
0.675,30.5905,9.99343,20.3749,42.8745,41.9611,3.00251
0.6875,30.8861,9.9634,20.3875,43.3894,41.9346,3.05255
0.7,31.1805,9.92418,20.4002,43.9034,41.893,3.10242
0.7125,31.4734,9.87582,20.413,44.4161,41.8362,3.15212
0.725,31.7647,9.81837,20.4261,44.927,41.7644,3.20167
0.7375,32.0539,9.75188,20.4393,45.4356,41.6774,3.25105
0.75,32.3409,9.67641,20.4526,45.9414,41.5756,3.30027
0.7625,32.6254,9.59205,20.4662,46.4442,41.4588,3.34932
0.775,32.9071,9.49886,20.4798,46.9433,41.3272,3.39822
0.7875,33.1857,9.39695,20.4937,47.4383,41.181,3.44696
0.8,33.4609,9.2864,20.5077,47.9289,41.0203,3.49554
0.8125,33.7326,9.16733,20.5218,48.4145,40.8451,3.54396
0.825,34.0005,9.03984,20.5362,48.8948,40.6558,3.59223
0.8375,34.2642,8.90406,20.5506,49.3693,40.4523,3.64034
0.85,34.5236,8.76012,20.5653,49.8376,40.2349,3.68829
0.8625,34.7784,8.60814,20.58,50.2993,40.0039,3.73609
0.875,35.0284,8.44827,20.595,50.754,39.7593,3.78373
0.8875,35.2733,8.28067,20.6101,51.2013,39.5015,3.83122
0.9,35.5129,8.10549,20.6253,51.6408,39.2305,3.87855
0.9125,35.7469,7.92289,20.6407,52.072,38.9468,3.92573
0.925,35.9753,7.73305,20.6563,52.4947,38.6505,3.97275
0.9375,36.1976,7.53614,20.672,52.9084,38.3419,4.01962
0.95,36.4138,7.33234,20.6879,53.3129,38.0213,4.06634
0.9625,36.6235,7.12184,20.7039,53.7076,37.689,4.1129
0.975,36.8267,6.90485,20.7201,54.0923,37.3451,4.15931
0.9875,37.0231,6.68156,20.7364,54.4667,36.9902,4.20556
1,37.2125,6.45217,20.7529,54.8304,36.6244,4.25166
1.0125,37.3948,6.21691,20.7695,55.1831,36.2482,4.2976
1.025,37.5697,5.976,20.7863,55.5244,35.8617,4.34339
1.0375,37.7371,5.72964,20.8033,55.8542,35.4655,4.38903
1.05,37.8969,5.47808,20.8204,56.172,35.0598,4.43451
1.0625,38.0488,5.22155,20.8376,56.4777,34.6449,4.47983
1.075,38.1928,4.96028,20.855,56.7709,34.2214,4.525
1.0875,38.3287,4.69452,20.8726,57.0515,33.7895,4.57002
1.1,38.4563,4.42451,20.8903,57.3191,33.3496,4.61487
1.1125,38.5756,4.1505,20.9082,57.5735,32.9022,4.65957
1.125,38.6864,3.87275,20.9263,57.8146,32.4475,4.70411
1.1375,38.7886,3.59151,20.9445,58.042,31.9862,4.74849
1.15,38.882,3.30705,20.9628,58.2556,31.5184,4.79271
1.1625,38.9667,3.01963,20.9813,58.4553,31.0447,4.83677
1.175,39.0425,2.72951,21,58.6408,30.5655,4.88067
1.1875,39.1093,2.43696,21.0189,58.812,30.0812,4.9244
1.2,39.1671,2.14225,21.0379,58.9688,29.5923,4.96798
1.2125,39.2158,1.84566,21.057,59.111,29.0991,5.01139
1.225,39.2554,1.54746,21.0764,59.2385,28.6022,5.05463
1.2375,39.2857,1.24792,21.0959,59.3512,28.1019,5.09771
1.25,39.3068,0.947331,21.1155,59.449,27.5988,5.14062
1.2625,39.3186,0.645961,21.1354,59.5318,27.0932,5.18336
1.275,39.3212,0.34409,21.1554,59.5996,26.5856,5.22593
