t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
0,20,0,20,0,25,0,25,25,0,0,40,5
0.0125,20.005,0.312253,19.9994,0.805643,24.9565,-0.0949576,25.008,25.5006,0.0623395,1.28687,40.0884,4.97436
0.025,20.0201,0.623817,19.9976,1.60971,24.8899,-0.19024,25.0322,26.0021,0.124358,2.57584,40.1395,4.94868
0.0375,20.0453,0.934403,19.9946,2.41154,24.8001,-0.285841,25.0724,26.5039,0.186056,3.86582,40.1533,4.92297
0.05,20.0804,1.24372,19.9905,3.21045,24.6872,-0.381756,25.1288,27.0057,0.247432,5.15575,40.1296,4.89722
0.0625,20.1255,1.55149,19.9851,4.00577,24.5513,-0.477977,25.2013,27.507,0.308486,6.44456,40.0685,4.87144
0.075,20.1805,1.85741,19.9785,4.79684,24.3926,-0.574497,25.2899,28.0073,0.369217,7.73119,39.97,4.84563
0.0875,20.2454,2.16121,19.9707,5.58299,24.2112,-0.67131,25.3946,28.5061,0.429626,9.01455,39.8343,4.81979
0.1,20.3201,2.4626,19.9617,6.36356,24.0072,-0.768406,25.5153,29.003,0.489711,10.2936,39.6614,4.79393
0.1125,20.4045,2.76129,19.9515,7.13791,23.7809,-0.865779,25.6519,29.4975,0.549473,11.5672,39.4515,4.76804
0.125,20.4985,3.05703,19.9401,7.90539,23.5323,-0.963418,25.8044,29.9891,0.608912,12.8344,39.2047,4.74213
0.1375,20.6021,3.34951,19.9274,8.66534,23.2618,-1.06132,25.9727,30.4775,0.668026,14.0942,38.9212,4.7162
0.15,20.7151,3.63848,19.9136,9.41714,22.9695,-1.15946,26.1567,30.962,0.726816,15.3453,38.6012,4.69024
0.1625,20.8375,3.92366,19.8985,10.1602,22.6557,-1.25785,26.3563,31.4423,0.785282,16.5869,38.2451,4.66426
0.175,20.9691,4.20478,19.8821,10.8938,22.3207,-1.35646,26.5714,31.918,0.843422,17.8178,37.8531,4.63826
0.1875,21.1098,4.48159,19.8645,11.6174,21.9647,-1.4553,26.8017,32.3885,0.901237,19.0372,37.4254,4.61223
0.2,21.2595,4.75381,19.8457,12.3304,21.588,-1.55434,27.0473,32.8535,0.958727,20.2438,36.9626,4.58617
0.2125,21.418,5.0212,19.8257,13.0322,21.1911,-1.65358,27.3078,33.3124,1.01589,21.4368,36.4648,4.56009
0.225,21.5852,5.28351,19.8044,13.7221,20.7741,-1.753,27.5831,33.7649,1.07273,22.6151,35.9326,4.53397
0.2375,21.761,5.54047,19.7819,14.3997,20.3374,-1.8526,27.8731,34.2106,1.12924,23.7778,35.3664,4.50783
0.25,21.9452,5.79186,19.7581,15.0644,19.8815,-1.95237,28.1775,34.649,1.18542,24.9239,34.7666,4.48165
0.2625,22.1375,6.03743,19.733,15.7155,19.4066,-2.05228,28.4961,35.0796,1.24128,26.0524,34.1338,4.45544
0.275,22.338,6.27695,19.7068,16.3527,18.9133,-2.15234,28.8287,35.5022,1.29681,27.1624,33.4684,4.42919
0.2875,22.5463,6.51019,19.6792,16.9752,18.4018,-2.25253,29.1751,35.9162,1.35201,28.253,32.7709,4.40291
0.3,22.7623,6.73692,19.6505,17.5827,17.8727,-2.35284,29.535,36.3213,1.40688,29.3233,32.0421,4.37658
0.3125,22.9858,6.95693,19.6204,18.1746,17.3263,-2.45325,29.9081,36.7171,1.46142,30.3723,31.2824,4.35021
0.325,23.2166,7.17001,19.5891,18.7503,16.7632,-2.55375,30.2942,37.1033,1.51564,31.3992,30.4924,4.32379
0.3375,23.4545,7.37595,19.5566,19.3096,16.1838,-2.65433,30.693,37.4793,1.56952,32.4031,29.6729,4.29733
0.35,23.6993,7.57454,19.5228,19.8518,15.5886,-2.75499,31.1042,37.845,1.62307,33.3833,28.8245,4.27081
0.3625,23.9507,7.7656,19.4877,20.3765,14.978,-2.8557,31.5274,38.1998,1.67629,34.3388,27.9479,4.24424
0.375,24.2086,7.94893,19.4514,20.8832,14.3527,-2.95646,31.9625,38.5435,1.72917,35.2689,27.0439,4.21761
0.3875,24.4727,8.12435,19.4138,21.3717,13.713,-3.05724,32.4091,38.8758,1.78173,36.1727,26.113,4.19092
0.4,24.7428,8.2917,19.3749,21.8414,13.0596,-3.15805,32.8667,39.1963,1.83395,37.0497,25.1563,4.16417
0.4125,25.0187,8.45079,19.3348,22.2919,12.393,-3.25887,33.3352,39.5046,1.88583,37.8989,24.1743,4.13735
0.425,25.3,8.60147,19.2935,22.723,11.7138,-3.35968,33.8141,39.8005,1.93738,38.7197,23.1679,4.11047
0.4375,25.5867,8.74358,19.2508,23.1341,11.0224,-3.46048,34.3031,40.0837,1.98859,39.5115,22.138,4.08352
0.45,25.8783,8.87698,19.207,23.5251,10.3196,-3.56124,34.8017,40.3539,2.03947,40.2735,21.0854,4.05649
