t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
0,20,0,20,0,25,0,25,25,0,0,40,5
0.0125,20.0051,0.312451,19.9992,0.812459,24.9882,-0.120264,25.008,25.5004,0.0624992,1.28002,40.0567,4.99981
0.025,20.0203,0.624608,19.997,1.62424,24.953,-0.240519,25.032,26.0013,0.124994,2.56124,40.0763,4.99925
0.0375,20.0457,0.936178,19.9932,2.43467,24.8942,-0.360756,25.072,26.5021,0.187479,3.84259,40.0588,4.99831
0.05,20.0812,1.24687,19.988,3.24307,24.8121,-0.480966,25.1281,27.0026,0.24995,5.123,40.0043,4.99699
0.0625,20.1267,1.55638,19.9812,4.04876,24.7065,-0.601139,25.2001,27.5021,0.312402,6.4014,39.9129,4.9953
0.075,20.1824,1.86443,19.9729,4.85109,24.5777,-0.721268,25.2881,28.0002,0.374831,7.67673,39.7844,4.99324
0.0875,20.248,2.17073,19.9632,5.64936,24.4258,-0.841342,25.392,28.4966,0.437231,8.94794,39.6192,4.99079
0.1,20.3236,2.47498,19.9519,6.44293,24.2508,-0.961353,25.5118,28.9906,0.499599,10.214,39.4172,4.98798
0.1125,20.4091,2.7769,19.9391,7.23113,24.0529,-1.08129,25.6473,29.4818,0.561929,11.4737,39.1787,4.98479
0.125,20.5043,3.07621,19.9249,8.01331,23.8323,-1.20115,25.7986,29.9699,0.624217,12.7262,38.9039,4.98122
0.1375,20.6094,3.37262,19.9091,8.7888,23.5891,-1.32092,25.9654,30.4543,0.686458,13.9703,38.593,4.97728
0.15,20.724,3.66584,19.8919,9.55697,23.3236,-1.44058,26.1478,30.9346,0.748648,15.2051,38.2462,4.97296
0.1625,20.8483,3.95561,19.8731,10.3172,23.0359,-1.56014,26.3455,31.4103,0.810781,16.4295,37.8638,4.96828
0.175,20.9819,4.24165,19.8529,11.0688,22.7264,-1.67959,26.5585,31.881,0.872853,17.6424,37.4462,4.96321
