cycle,instant_energy,cumulative_energy
0,-2,-2
1,-2,-2
2,-2,-2
3,-2,-2
4,-2,-2
5,-2,-2
6,-2,-2
7,-2,-2
8,-2,-2
9,-2,-2
10,-2,-2
11,-2,-2
12,-2,-2
13,-2,-2
14,-2,-2
15,-2,-2
16,-2,-2
17,-2,-2
18,-2,-2
19,-2,-2
20,-2,-2
21,-2,-2
22,-2,-2
23,-2,-2
24,-2,-2
25,-2,-2
26,-2,-2
27,-2,-2
28,-2,-2
29,-2,-2
30,-2,-2
31,-1.98,-1.999375
32,-2,-1.999393939
33,-2,-1.999411765
34,-2,-1.999428571
35,-2,-1.999444444
36,-2,-1.999459459
37,-2,-1.999473684
38,-2,-1.999487179
39,-2,-1.9995
40,-2,-1.999512195
41,-2,-1.99952381
42,-2,-1.999534884
43,-2,-1.999545455
44,-2,-1.999555556
45,-2,-1.999565217
46,-2,-1.999574468
47,-2,-1.999583333
48,-2,-1.999591837
49,-2,-1.9996
50,-2,-1.999607843
51,-2,-1.999615385
52,-2,-1.999622642
53,-2,-1.99962963
54,-2,-1.999636364
55,-2,-1.999642857
56,-2,-1.999649123
57,-2,-1.999655172
58,-2,-1.999661017
59,-2,-1.999666667
60,-2,-1.999672131
61,-2,-1.999677419
62,-2,-1.99968254
63,-2,-1.9996875
64,-2,-1.999692308
65,-2,-1.99969697
66,-2,-1.999701493
67,-2,-1.999705882
68,-2,-1.999710145
69,-2,-1.999714286
70,-2,-1.99971831
71,-2,-1.999722222
72,-2,-1.999726027
73,-2,-1.99972973
74,-2,-1.999733333
75,-2,-1.999736842
76,-2,-1.99974026
77,-2,-1.99974359
78,-1.98,-1.999493671
79,-2,-1.9995
80,-2,-1.999506173
81,-2,-1.999512195
82,-2,-1.999518072
83,-2,-1.99952381
84,-2,-1.999529412
85,-2,-1.999534884
86,-2,-1.99954023
87,-2,-1.999545455
88,-2,-1.999550562
89,-2,-1.999555556
90,-2,-1.99956044
91,-2,-1.999565217
92,-2,-1.999569892
93,-2,-1.999574468
94,-2,-1.999578947
95,-2,-1.999583333
96,-2,-1.999587629
97,-2,-1.999591837
98,-2,-1.99959596
99,-2,-1.9996
100,-2,-1.99960396
101,-2,-1.999607843
102,-2,-1.99961165
103,-2,-1.999615385
104,-2,-1.999619048
105,-1.98,-1.999433962
106,-1.96,-1.999065421
107,-1.98,-1.998888889
108,-1.98,-1.998715596
109,-1.98,-1.998545455
110,-2,-1.998558559
111,-2,-1.998571429
112,-2,-1.998584071
113,-2,-1.998596491
114,-2,-1.998608696
115,-2,-1.99862069
116,-2,-1.998632479
117,-2,-1.998644068
118,-2,-1.998655462
119,-2,-1.998666667
120,-2,-1.998677686
121,-2,-1.998688525
122,-2,-1.998699187
123,-2,-1.998709677
124,-2,-1.99872
125,-1.98,-1.998571429
126,-1.98,-1.998425197
127,-2,-1.9984375
128,-2,-1.998449612
129,-2,-1.998461538
130,-2,-1.998473282
131,-2,-1.998484848
132,-1.98,-1.998345865
133,-1.98,-1.998208955
134,-1.98,-1.998074074
135,-2,-1.998088235
136,-2,-1.99810219
137,-2,-1.998115942
138,-2,-1.998129496
139,-2,-1.998142857
140,-2,-1.998156028
141,-2,-1.998169014
142,-2,-1.998181818
143,-1.98,-1.998055556
144,-2,-1.998068966
145,-2,-1.998082192
146,-2,-1.998095238
147,-2,-1.998108108
148,-2,-1.998120805
149,-2,-1.998133333
150,-2,-1.998145695
151,-2,-1.998157895
152,-2,-1.998169935
153,-2,-1.998181818
154,-2,-1.998193548
155,-2,-1.998205128
156,-2,-1.998216561
157,-2,-1.998227848
158,-2,-1.998238994
159,-2,-1.99825
160,-2,-1.99826087
161,-2,-1.998271605
162,-2,-1.998282209
