cycle,instant_energy,cumulative_energy
0,-0.06,-0.06
1,-0.62,-0.34
2,-0.78,-0.4866666667
3,-0.87,-0.5825
4,-0.93,-0.652
5,-0.89,-0.6916666667
6,-0.96,-0.73
7,-0.92,-0.75375
8,-1.02,-0.7833333333
9,-1.1,-0.815
10,-1.08,-0.8390909091
11,-1.07,-0.8583333333
12,-1.05,-0.8730769231
13,-0.92,-0.8764285714
14,-1.06,-0.8886666667
15,-1.23,-0.91
16,-1.16,-0.9247058824
17,-1.01,-0.9294444444
18,-1.09,-0.9378947368
19,-1.24,-0.953
20,-1.31,-0.97
21,-1.2,-0.9804545455
22,-1.1,-0.9856521739
23,-1.15,-0.9925
24,-1.09,-0.9964
25,-1.03,-0.9976923077
26,-1.08,-1.000740741
27,-1.05,-1.0025
28,-1.07,-1.004827586
29,-1.14,-1.009333333
30,-1.11,-1.012580645
31,-1.11,-1.015625
32,-1.09,-1.017878788
33,-1.03,-1.018235294
34,-1.04,-1.018857143
35,-1.06,-1.02
36,-1.08,-1.021621622
37,-1.05,-1.022368421
38,-1.01,-1.022051282
39,-1.06,-1.023
40,-1.11,-1.025121951
41,-1.22,-1.029761905
42,-1.25,-1.034883721
43,-1.11,-1.036590909
44,-1.12,-1.038444444
45,-1.23,-1.042608696
46,-1.23,-1.046595745
47,-1.29,-1.051666667
48,-1.19,-1.054489796
49,-1.16,-1.0566
50,-1.18,-1.059019608
51,-1.22,-1.062115385
52,-1.1,-1.062830189
53,-1.12,-1.063888889
54,-1.17,-1.065818182
55,-1.22,-1.068571429
56,-1.09,-1.068947368
57,-1.09,-1.069310345
58,-1.19,-1.071355932
59,-1.15,-1.072666667
60,-1.03,-1.071967213
61,-1.05,-1.071612903
62,-1.06,-1.071428571
63,-0.96,-1.0696875
64,-1,-1.068615385
65,-0.92,-1.066363636
66,-0.89,-1.063731343
67,-0.93,-1.061764706
68,-0.92,-1.059710145
69,-0.93,-1.057857143
70,-0.87,-1.055211268
71,-0.94,-1.053611111
72,-0.92,-1.051780822
73,-0.99,-1.050945946
74,-1.08,-1.051333333
75,-1.18,-1.053026316
76,-1.14,-1.054155844
77,-1.16,-1.055512821
78,-1.13,-1.056455696
79,-1.1,-1.057
80,-1.07,-1.057160494
81,-1.11,-1.057804878
82,-1.06,-1.057831325
83,-1.01,-1.057261905
84,-1.19,-1.058823529
85,-1.29,-1.061511628
86,-1.17,-1.062758621
87,-1.25,-1.064886364
88,-1.26,-1.067078652
89,-1.27,-1.069333333
90,-1.13,-1.07
91,-1.23,-1.07173913
92,-1.32,-1.074408602
93,-1.27,-1.076489362
94,-1.28,-1.078631579
95,-1.3,-1.0809375
96,-1.32,-1.083402062
97,-1.23,-1.084897959
98,-1.22,-1.086262626
99,-1.14,-1.0868
100,-1.14,-1.087326733
101,-1.16,-1.088039216
102,-1.09,-1.088058252
103,-1.02,-1.087403846
104,-0.99,-1.08647619
105,-1.12,-1.086792453
106,-1.1,-1.086915888
107,-1.09,-1.086944444
108,-1.21,-1.088073394
109,-1.25,-1.089545455
110,-1.24,-1.090900901
111,-1.21,-1.091964286
112,-1.15,-1.092477876
113,-1.11,-1.092631579
114,-1.14,-1.093043478
115,-1.1,-1.093103448
116,-1.03,-1.092564103
117,-1.12,-1.09279661
118,-1.15,-1.093277311
119,-1.14,-1.093666667
120,-1.1,-1.093719008
121,-1.1,-1.093770492
122,-1.06,-1.093495935
123,-1.13,-1.093790323
124,-1.12,-1.094
125,-1.12,-1.094206349
126,-1.18,-1.09488189
127,-1.12,-1.095078125
128,-1.12,-1.095271318
129,-1.17,-1.095846154
130,-1.28,-1.097251908
131,-1.34,-1.099090909
132,-1.24,-1.100150376
133,-1.25,-1.101268657
134,-1.14,-1.101555556
135,-1.15,-1.101911765
136,-1.11,-1.101970803
137,-1.1,-1.101956522
138,-1.19,-1.102589928
139,-1.16,-1.103
140,-1.2,-1.103687943
141,-1.15,-1.104014085
142,-1.15,-1.104335664
143,-1.1,-1.104305556
144,-1.21,-1.105034483
145,-1.33,-1.106575342
146,-1.22,-1.107346939
147,-1.21,-1.108040541
148,-1.3,-1.109328859
149,-1.22,-1.110066667
150,-1.17,-1.110463576
151,-1.09,-1.110328947
152,-1.03,-1.109803922
153,-1.03,-1.109285714
154,-1.2,-1.109870968
155,-1.1,-1.109807692
156,-1.28,-1.11089172
157,-1.22,-1.111582278
158,-1.22,-1.112264151
159,-1.11,-1.11225
160,-1.11,-1.112236025
161,-1.01,-1.111604938
162,-1.09,-1.111472393
163,-1.21,-1.112073171
164,-1.22,-1.112727273
165,-1.15,-1.112951807
166,-1.14,-1.113113772
167,-1.23,-1.113809524
168,-1.21,-1.114378698
169,-1.22,-1.115
170,-1.25,-1.115789474
171,-1.14,-1.115930233
172,-1.08,-1.115722543
173,-1.07,-1.11545977
174,-1.14,-1.1156
175,-1.13,-1.115681818
176,-1.08,-1.115480226
177,-1.02,-1.11494382
178,-1.03,-1.114469274
179,-1.11,-1.114444444
180,-1.09,-1.114309392
181,-1.09,-1.114175824
182,-1.24,-1.114863388
183,-1.34,-1.116086957
184,-1.17,-1.116378378
185,-1.16,-1.116612903
186,-1.25,-1.117326203
187,-1.33,-1.118457447
188,-1.28,-1.119312169
189,-1.21,-1.119789474
190,-1.23,-1.120366492
191,-1.15,-1.120520833
192,-1.14,-1.120621762
193,-1.22,-1.121134021
194,-1.18,-1.121435897
195,-1.2,-1.121836735
196,-1.32,-1.12284264
197,-1.25,-1.123484848
198,-1.24,-1.124070352
199,-1.33,-1.1251
200,-1.32,-1.126069652
201,-1.24,-1.126633663
202,-1.3,-1.127487685
203,-1.28,-1.128235294
204,-1.29,-1.12902439
205,-1.25,-1.12961165
206,-1.16,-1.129758454
207,-1.21,-1.130144231
208,-1.2,-1.130478469
209,-1.24,-1.131
210,-1.26,-1.131611374
211,-1.24,-1.132122642
212,-1.35,-1.13314554
213,-1.32,-1.134018692
214,-1.17,-1.134186047
215,-1.2,-1.134490741
216,-1.26,-1.135069124
217,-1.33,-1.135963303
218,-1.37,-1.137031963
219,-1.26,-1.137590909
220,-1.33,-1.138461538
221,-1.26,-1.139009009
222,-1.26,-1.13955157
223,-1.35,-1.140491071
224,-1.28,-1.141111111
225,-1.23,-1.141504425
226,-1.14,-1.141497797
227,-1.2,-1.141754386
228,-1.26,-1.142270742
229,-1.13,-1.142217391
230,-1.18,-1.142380952
231,-1.16,-1.142456897
232,-1.22,-1.1427897
233,-1.2,-1.143034188
234,-1.13,-1.142978723
235,-1.12,-1.142881356
236,-1.16,-1.142953586
237,-1.01,-1.142394958
238,-0.99,-1.141757322
239,-0.98,-1.141083333
240,-1.03,-1.140622407
241,-1.19,-1.140826446
242,-1.25,-1.14127572
243,-1.19,-1.14147541
244,-1.23,-1.141836735
245,-1.27,-1.142357724
246,-1.17,-1.142469636
247,-1.31,-1.143145161
248,-1.23,-1.143493976
249,-1.2,-1.14372
250,-1.18,-1.143864542
251,-1.23,-1.144206349
252,-1.27,-1.144703557
253,-1.32,-1.145393701
254,-1.38,-1.146313725
255,-1.22,-1.146601563
256,-1.04,-1.14618677
257,-1.01,-1.145658915
258,-1.08,-1.145405405
259,-1.03,-1.144961538
260,-1.05,-1.144597701
261,-1.06,-1.144274809
262,-1.16,-1.144334601
263,-1.31,-1.144962121
264,-1.13,-1.14490566
265,-1.11,-1.144774436
266,-1.04,-1.144382022
267,-1.04,-1.143992537
268,-1.19,-1.144163569
269,-1.35,-1.144925926
270,-1.34,-1.145645756
271,-1.32,-1.146286765
272,-1.32,-1.146923077
273,-1.41,-1.147883212
274,-1.39,-1.148763636
275,-1.21,-1.148985507
276,-1.14,-1.148953069
277,-1.3,-1.149496403
278,-1.34,-1.150179211
279,-1.28,-1.150642857
280,-1.18,-1.150747331
281,-1.15,-1.150744681
282,-1.13,-1.150671378
283,-1.22,-1.150915493
284,-1.27,-1.151333333
285,-1.22,-1.151573427
286,-1.08,-1.151324042
287,-1.19,-1.151458333
288,-1.17,-1.151522491
289,-1.12,-1.151413793
290,-1.15,-1.151408935
291,-1.19,-1.151541096
292,-1.14,-1.151501706
293,-0.97,-1.150884354
294,-1.18,-1.150983051
295,-1.22,-1.151216216
296,-1.12,-1.151111111
